model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank
openai/gpt-oss-120b,GPT-OSS-120B,automation_GPT-OSS-120B,2.5,2.1213203435596424,0.7232142857142857,0.2146574157173448,3,1.0
gpt-4.1,GPT-4.1,automation_GPT-4.1,4.5,4.949747468305833,0.6875,0.4419417382415922,3,2.0
google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,3.0,2.179449471770337,0.6746031746031745,0.17870365474916988,3,3.0
o3-mini-2025-01-31,GPT-O3-Mini,automation_GPT-O3-Mini,4.25,1.7677669529663689,0.6071428571428572,0.15152288168283165,3,4.0
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,3.0,0.7071067811865476,0.47916666666666663,0.20623947784607635,3,5.0
o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,5.25,0.3535533905932738,0.4642857142857143,0.050507627227610534,3,6.0
anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,4.5,1.4142135623730951,0.41666666666666663,0.11785113019775792,3,7.0
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,4.25,3.8890872965260113,0.40476190476190477,0.3703892663358106,3,8.0
gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,5.25,3.8890872965260113,0.3125,0.4419417382415922,3,9.0
gpt-3.5-turbo,GPT-3.5-Turbo,automation_GPT-3.5-Turbo,7.5,2.1213203435596424,0.14285714285714285,0.20203050891044214,3,10.0
